grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
Bring Pop Up Meeting and Power to the People: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7995,05/26/2017,06/01/2017 - 11/30/2018,"$ 74,600.00",Communities,Knight Cities Challenge,"To increase civic engagement in St. Paul by democratizing the process of organizing, and hosting public meetings with free tools available at library locations.",City of Saint Paul
The Wynwood Yard,https://knightfoundation.org/grants/8025,06/22/2017,06/01/2017 - 06/01/2019,"$ 104,167.00",Communities,,To support the growth of food entrepreneurs and the continued activation of The Wynwood Yard through public-facing community events and incubator programming.,The Wynwood Yard
The Vendor Village in the Park: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7992,06/07/2017,06/01/2017 - 12/01/2018,"$ 176,878.00",Communities,Knight Cities Challenge,"To expand economic opportunity by improving the vibrancy of Mifflin Square Park with improved infrastructure and easier access to permits for local immigrant food vendors, and entrepreneurs.","Southeast Asian Mutual Assistance Associations Coalition, Inc."
Making Canal Park Pop: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7979,06/06/2017,06/01/2017 - 11/30/2018,"$ 201,400.00",Communities,Knight Cities Challenge,To increase vibrancy in Duluth by repurposing underused space at the gateway to Canal Park with pop-up installations that attract and connect diverse residents from different backgrounds.,City of Duluth
Atwater Beach: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7970,06/06/2017,06/01/2017 - 11/30/2018,"$ 225,700.00",Communities,Knight Cities Challenge,To increase Detroit’s vibrancy by activating a strategic location along the Detroit RiverWalk as a new and diverse gathering place for the entire Detroit community.,Atwater Beach
Pop-Up Garage Park: A 2017 Knight Cities Winner,https://knightfoundation.org/grants/7982,05/19/2017,06/01/2017 - 11/30/2018,"$ 25,500.00",Communities,Knight Cities Challenge,To increase vibrancy in downtown Macon by creating a temporary public space with park-like amenities and event programming in an underutilized garage.,New Town Macon Inc.
MuckRock,https://knightfoundation.org/grants/8060,07/10/2017,06/01/2017 - 06/01/2019,"$ 240,000.00",Journalism,,To improve access to public records for more journalists and communities by expanding the capacity of an organization that has already provided the digital tools to make the process simple and affordable.,MuckRock.com
Performing Arts Summer Camp,https://knightfoundation.org/grants/7883,10/31/2016,06/01/2017 - 07/28/2017,"$ 5,000.00",Arts,,To foster the next generation of artists with a three-week summer camp focused on dance and music,Phillips Performing Arts Foundation
City Designer for San Jose: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7994,06/07/2017,06/01/2017 - 11/30/2018,"$ 150,000.00",Communities,Knight Cities Challenge,"To advance public life and create more well-designed public spaces in San Jose by recruiting a City Designer with urban design, planning and transit-oriented development expertise to initiate a long-term Urban Design Agenda for San Jose.",City of San Jose
"Better Buildings, Better Blocks: A 2017 Knight Cities Challenge Winner",https://knightfoundation.org/grants/7971,06/06/2017,06/01/2017 - 11/30/2018,"$ 157,500.00",Communities,Knight Cities Challenge,Expanding economic opportunity by empowering Detroiters to become neighborhood real estate developers through a community-based education program adapted from a University of Michigan course.,Building Community Value
Rail Trail Grove & Field: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7967,06/06/2017,06/01/2017 - 06/06/2017,"$ 151,600.00",Communities,Knight Cities Challenge,To increase vibrancy and connectivity in Charlotte by turning the Charlotte Rail Trail’s last remaining vacant space into a lively place to connect with nature and neighbors.,Charlotte Center City Partners
The A Place: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7962,06/06/2017,06/01/2017 - 11/30/2018,"$ 35,000.00",Communities,Knight Cities Challenge,"To support talent attraction and integration in Aberdeen with The A Place, a new one-stop information/assistance center for new Aberdeen residents integrated into the new library.",Aberdeen Area Community Foundation
@PLAY: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7964,06/06/2017,06/01/2017 - 11/30/2018,"$ 260,096.00",Communities,Knight Cities Challenge,To foster civic engagement and increase neighborhood vibrancy with a series of interactive art challenges and playful activities in Akron neighborhoods.,"Art x Love, LLC"
Innerbelt National Forest: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7963,06/06/2017,06/01/2017 - 11/30/2018,"$ 224,453.00",Communities,Knight Cities Challenge,To increase public life in Akron by transforming a decommissioned freeway into a temporary forest and public space.,Hunter Franks
Miami Mobility Fastrack,https://knightfoundation.org/grants/8027,07/10/2017,06/01/2017 - 05/31/2018,"$ 200,000.00",Communities,,"To address Miami’s long-term transportation challenges by supporting Fastrack Institute, a series of workshops and an open prize competition for innovative urban mobility solutions.",Fastrack Institute Inc.
Tabadul: [Re]Presenting and [Ex]Changing Our America: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7990,06/07/2017,06/01/2017 - 06/07/2017,"$ 181,400.00",Communities,Knight Cities Challenge,To provoke dialogue and cultural exchange around immigration and race in Philadelphia with a public art installation that displays youth expressions of identity in a central public space.,Al-Bustan Seeds of Culture
Local Color: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7993,06/07/2017,06/01/2017 - 11/30/2018,"$ 181,400.00",Communities,Knight Cities Challenge,"To bring more vibrancy and strengthen public life in downtown San Jose by establishing a dynamic creative haven and modular, open space for multi-disciplinary learning/teaching in re-imagined vacant commercial sites.",Exhibition District
Up Up & Away: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7991,05/11/2017,06/01/2017 - 12/01/2018,"$ 52,083.00",Communities,Knight Cities Challenge,To better attract and develop talent in North Philadelphia with a new community space within an existing comic book store that will provide robust programming and professional development.,"Amalgam Comics & Coffeehouse, Inc."
Interactive Staircase,https://knightfoundation.org/grants/7948,05/16/2017,05/08/2017 - 08/15/2018,"$ 150,000.00","Arts, Technology",,To develop the Interactive Staircase at the Mint Museum Uptown—an architectural installation at the entrance to the building that will utilize technology to increase visitation and enhance the visitor experience.,Mint Museum of Art Inc.
Coyote Treasure Hunt,https://knightfoundation.org/grants/7952,05/16/2017,05/08/2017 - 07/01/0218,"$ 150,000.00","Arts, Technology",,"To build on the Museum of Contemporary Art’s visual description software, Coyote, to include a digital scavenger hunt that will encourage museum visitors to locate artworks based on texts.",Museum of Contemporary Art Chicago
The Macon Fulldome Film Festival,https://knightfoundation.org/grants/7953,05/16/2017,05/08/2017 - 07/01/2018,"$ 100,000.00","Arts, Technology",,To launch the FullDome Festival in partnership with the Macon Film Festival at The Museum of Arts and Sciences (MAS)—an effort to introduce filmmakers to the technological possibilities of the planetarium and present new artistic works in the fulldome medium.,Museum of Arts & Sciences
Open Source Storytelling for Museums,https://knightfoundation.org/grants/7947,05/16/2017,05/08/2017 - 07/01/2018,"$ 148,800.00","Arts, Technology",,"To expand and improve the digital storytelling platform Griot, of The Minneapolis Institute of Art — an open sourced software that allows users to explore works of art in the collection on any device.",Minneapolis Institute of Art
The Lumin Experience,https://knightfoundation.org/grants/7945,05/16/2017,05/08/2017 - 07/01/2018,"$ 150,000.00","Arts, Technology",,To support the Detroit Institute of the Art’s launch of Lumin—a mobile tour of the art museum that relies on augmented reality technology.,The Detroit Institute of Arts
Enhancing the Vizcaya Visitor Experience through 3D Technologies,https://knightfoundation.org/grants/7956,05/16/2017,05/08/2017 - 07/01/2018,"$ 100,000.00","Arts, Technology",,"To connect visitors with inaccessible museum holdings at Vizcaya Museum and Gardens through the use of 3D modeling and printing techniques, making visible via technology what would be physically impossible.",Vizcaya Museum and Gardens
Muse: Your Friendly Cultural Companion,https://knightfoundation.org/grants/7944,05/16/2017,05/08/2017 - 07/01/2018,"$ 150,000.00","Arts, Technology",,"To support Carnegie Museums of Pittsburgh’s development of Muse, a new visitor-facing mobile experience that engages museum visitors through fun and informative SMS chatbot messaging.",Carnegie Museums of Pittsburgh
City Church Ruins Garden: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7980,06/06/2017,05/02/2017 - 06/06/2017,"$ 163,333.00",Communities,Knight Cities Challenge,To support economic development and downtown vibrancy by investing in the redevelopment of the historic United City Methodist Church which will serve as a cultural anchor in the community.,City of Gary Redevelopment Commission
DocumentCloud,https://knightfoundation.org/grants/8024,06/30/2017,04/30/2017 - 05/30/2018,"$ 250,000.00",Journalism,,"To improve and make sustainable the popular, open source journalism tool DocumentCloud, to encourage investigative journalism and the exchange of public information.","Philadelphia Public Interest Information Network, Inc."
General Operating Support for Center for Technology and Civic Life,https://knightfoundation.org/grants/7918,03/15/2017,04/03/2017 - 04/02/2019,"$ 508,000.00",Technology,,To promote civic engagement and provide voters with better information by renewing support to the Center for Technology and Civic Life to train municipal officials to use digital tools for community outreach and elections planning.,Center for Technology and Civic Life
Ida B. Wells Society for Investigative Reporting,https://knightfoundation.org/grants/7959,04/28/2017,04/01/2017 - 04/01/2019,"$ 150,000.00",Journalism,,To increase diversity in the field of journalism by supporting a new organization focused on growing the ranks of investigative journalists from communities of color.,The Ida B. Wells Society for Investigative Reporting
