grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
The Year of Voting Dangerously: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7999,06/07/2017,06/07/2017 - 06/07/2017,"$ 12,000.00",Communities,Knight Cities Challenge,Engaging the community with a mobile voting booth that prompts residents to respond to pressing local issues and initiatives.,Twin Lakes Library System
A Dream Deferred - PHL Redlining: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7989,06/07/2017,06/07/2017 - 06/07/2017,"$ 300,000.00",Communities,Knight Cities Challenge,"Building more equitable communities by launching a series of convenings across several cities where decision-makers, social entrepreneurs, activists and innovators discuss equitable community development.",Little Giant Creative
PHL Participatory Design Lab: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/8000,06/07/2017,06/07/2017 - 06/07/2017,"$ 338,000.00",Communities,Knight Cities Challenge,"Providing a space for Philadelphians to design city service solutions with a mobile, participatory city design lab that will travel from neighborhood to neighborhood.",City of Philadelphia
Design Center in a Box: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7976,06/06/2017,06/06/2017 - 06/06/2017,"$ 205,000.00",Communities,Knight Cities Challenge,Promoting civic engagement by creating pop-up city planning offices where residents can connect with city planning staff and others to exchange ideas and become informed about the design and planning work happening in their neighborhood and the city at large.,City of Detroit Department of Planning and Development
Detroit's Slow Roll: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7977,06/06/2017,06/06/2017 - 06/06/2017,"$ 129,400.00",Communities,Knight Cities Challenge,"Leveraging the 25,000 cyclists who participate in Slow Roll Detroit and demonstrating how to engage Detroit’s nonprofit sector, drive renewal and smile while doing it.",Detroit Bike City
Speak Up Bradenton: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7966,06/06/2017,06/01/2017 - 11/30/2018,"$ 32,300.00",Communities,Knight Cities Challenge,"To increase civic engagement in Bradenton with a new participation framework that uses technology to give citizens a chance to participate in government decisions in non-traditional settings like bus stops, landmarks and other well-trafficked public spaces.",Manatee County Government
The State's Front Porch: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7969,06/06/2017,06/01/2017 - 11/30/2018,"$ 204,256.00",Communities,Knight Cities Challenge,"To support talent retention and attraction in Columbia by supporting activities and providing amenities that attract more people to the State Houseas a place for all community members to meet, linger and socialize.",City of Columbia
Rep(resentative) MIA: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7985,06/07/2017,06/01/2017 - 11/30/2018,"$ 124,592.00",Communities,Knight Cities Challenge,"To increase civic engagement with new content that presents information about citizens’ local representatives and upcoming and recent votes in easily sharable infographics, memes, tweets, and video clips.",Engage Miami
Back Lot Drive-In at the Tubman: A 2017 Knight Cities Challenge Winner,https://knightfoundation.org/grants/7981,05/26/2017,06/01/2017 - 11/30/2018,"$ 94,325.00",Communities,Knight Cities Challenge,"To increase the vibrancy of downtown Macon by reviving a nearly-forgotten cultural staple, the drive-in movie, in the back lot of the Tubman Museum.","Tubman African American Museum, Inc."
"Activating Downtown Opa-locka Through THRIVE Campus’s Urban Farm, Urban Market, and Innovation Lab",https://knightfoundation.org/grants/8037,07/24/2017,06/01/2017 - 06/01/2018,"$ 135,000.00",Communities,,"To expand opportunity and drive entrepreneurship in Opa-Locka by supporting the THRIVE Campus' innovation lab & makerspace, urban farm and market.",Opa-locka Community Development Corporation
